LATITUD;LONGITUD;HECTAREAS
5,8046991;-73,5707829;1,0005100051
5,804793;-73,5702804;1,0005100051
5,8045306;-73,5701869;1,0005100051
5,803947;-73,5701209;1,0005100051
5,8038852;-73,570315;1,0005100051
5,8038191;-73,5705875;1,0005100051
5,8045811;-73,5714681;1,0005100051
